Latitud,Longitud,Título
9.539739,-83.117154,San Miguel
9.514992,-83.067661,Trinidad
9.490722,-83.169978,San Agustin
9.547353,-83.195676,Santa Cruz
9.528793,-83.194249,San Pablo
9.565615,-83.210131,Santo Domingo
9.557822,-83.308939,San Bartolome de Urinama
9.439801,-83.051481,San Andres de Jesus
9.422193,-83.075751,San Antonio
19.43378643,-99.13313445,Ciudad de Mexico
9.438374,-83.052433,Santa Ana de Dios
9.558774,-82.951068,Concepcion
9.265229,-82.731391,San Buenaventura Sañasuru
9.3497,-82.742099,San Andres de Bilitz
9.361553,-82.533069,San Jose Zengo
9.333758,-82.54079,San Miguel Querulu
9.409187,-82.31796,Dolores
9.600138,-83.164453,San Buenaventura
18.8485452,-99.22328107,Temixco
18.0019077,-100.2820051,Tepantitlan
20.676143,-103.346998,Guadalajara
18.45566199,-100.5921753,Alba de Liste
18.49945128,-100.3932513,San Vicente
15.77848,-88.03977,Omoa
0.772046209,-75.41257484,Santa Maria
-35.90458289,-57.57159814,Concepcion
-37.9549,-57.70732567,Pilar
-38.1363339,-57.82629872,Desamparados
-27.04374133,-55.22632125,Jardin America
23.0708629,-105.4684266,Plomosas
23.0299,-105.4904,San Marcial
28.654323,-106.083947,Chihuahua
23.02014421,-105.5359667,San Miguel
23.06024468,-105.5048235,Santa Rita
23.03283891,-105.7968895,El Tamarindo
23.42328382,-105.9027171,Panuco
22.92612008,-105.9194317,Los Vazquez
22.52399117,-105.4701895,Bayona
22.67037561,-105.7957473,El Palmito
23.05292411,-105.9548292,Las Higueras
23.42278973,-105.9206,Santa Rosa
23.42278973,-105.9206,Charcas
24.02484,-104.66986,Durango
23.92038192,-106.5091754,Cabazan
23.73407708,-106.3803135,Ocote
24.5245,-107.0290969,Palo Blanco
30.67881197,-112.3998291,Bisnanig
28.34664749,-109.1726398,Guadalupe
28.47037946,-109.0512872,Trinidad
29.44618616,-110.7537862,Angeles
29.4749721,-110.7325354,San Juan del Payo
29.40715746,-110.796067,Cerro Pelon
21.01661,-101.25272,Guanajuato
29.37505054,-110.8089951,Torreon
29.21990968,-110.8572981,Alamito
31.1535,-111.1844205,Arizona
31.1535,-111.1844205,Arizona
30.9513333,-110.8535462,Agua Caliente
30.23574699,-110.2220471,Tetuachi
29.28943535,-110.6113983,San Jose de Gracia
29.0054176,-110.1431004,Mazatan
29.0054176,-110.1431004,Mazatan
28.4928333,-110.3002872,San Marcial
28.76312594,-109.6343313,Soyopa
16.84865,-99.90849,Acapulco
28.59552,-109.7376954,San Javier
28.26383076,-109.8356205,San Jose y las Animas
29.97216479,-110.6447563,Real de Opodepe
30.16906518,-110.328982,Motepore
29.63606592,-110.1338661,Realito de Concepcion
29.68762975,-110.1496785,Suaqui
30.6001667,-110.2353333,Bacanuchi
30.6001667,-110.2353333,Bacanuchi
30.40600268,-110.0697228,Guepaberachi
30.41548087,-110.2989442,Santa Rosalia
20.121599,-98.733139,Pachuca
30.22188103,-110.1582625,Bavicanora
29.8351667,-109.5561667,Tonibabi
28.7893333,-110.8191667,Aguaje
29.99212781,-109.8002208,Teonadepa
29.7304,-109.6671205,Pivipa
29.67975892,-109.6494538,Terapa
29.9353333,-109.7368333,Jecori
29.95281677,-109.7505397,Jamaica
29.12777946,-109.5910205,Realito de Todos Santos
29.53432571,-109.5299846,Tepache
19.703889,-101.184722,Valladolid
29.6872505,-108.9789854,Nacori chico
30.7383333,-111.7335,Oquitoa
30.67661894,-112.0583988,Pitiquito
32.80346128,-108.0605356,Santa Rita
-16.14187374,-70.34133384,Juncal
23.51472924,-100.8305723,La Maroma
19.945,-103.758056,San Rafael
18.55314905,-99.57869947,Tehuilotepec
18.9200611,-104.0697673,Cuyutlan
21.34729389,-104.3009531,Tatepusco
21.23789,-104.901177,Compostela
21.37765655,-104.1364298,Jora
21.044444,-103.9518689,Huajacatlan
22.38597946,-105.2602003,Minas de Motaje
22.46450167,-105.4529366,Buenavista
-16.39817793,-71.53216899,Santa Marta
-16.33393791,-70.75088228,Lloque
-10.770841,-75.810701,Paucartambo
-11.17615429,-75.3592969,Collac
-11.17615429,-75.3592969,Collac
-12.73403772,-73.67046228,Maniroato
25.670971,-100.309982,Monterrey
-10.969641,-75.875879,Ulumayo
-11.34596248,-75.57065615,Fuerte de Palca
-7.878115368,-77.18555142,Jucusbamba
-12.74411313,-72.56319857,Cocabambilla
-11.08365604,-75.32584385,Sauyria
6.442679733,-67.15316144,Marimarota
6.442679733,-67.15316144,Fuerte de Marimarota
6.471627121,-67.06172242,Pararuma
6.276636434,-67.61741171,Santa Teresa de Jesus
24.859681,-99.5684,Linares
9.306417484,-64.35862928,Cantaura
10.3974769,-63.63571709,Cotua
7.645874519,-64.76695232,San Rafael de Puruey
30.25417337,-110.6889715,San Javier
8.976524368,-67.58978464,San Antonio
12.01678382,-70.11474191,Acaboa
10.01020682,-70.08409811,Arangues
10.4494885,-66.48162484,Araira
10.44138497,-66.43624512,Araguata
35.6875045,-105.9385061,Santa Fe
9.876619108,-69.78873258,Boro
9.418504516,-70.2730802,Burbusay
20.88396699,-104.0842686,Ayones
20.91343523,-103.9718877,Raya de la Magdalena
30.53980744,-111.1229231,Santa Ana
26.80737809,-107.7026015,Loreto
27.731111,-108.564444,Guadalupe
26.86474107,-105.8443363,San Francisco del Oro
27.2517846,-105.5696769,Minas de Cordero
28.39496685,-108.3264087,Poleachi
24.216753,-98.485176,Santander Jimenez
30.24785732,-110.844019,La Soledad
30.80219274,-109.5868967,Teuricachi
30.80219274,-109.5868967,Teuricachi
28.72168946,-109.8772066,San Miguel Arcangel
30.75910295,-109.5857226,Cuchuta
9.723412127,-69.7838301,Guajira
31.46892701,-110.9772694,Calabazas
31.10245178,-111.3545,Aquimuri
31.14132154,-111.3537384,El Busani
